Date,Open,High,Low,Close,Adj Close,Volume
2021-09-29,169.038330,169.525986,169.038330,169.500000,169.500000,0
2021-09-30,170.317108,170.317108,169.590820,169.500000,169.500000,0
2021-10-01,169.662674,169.662674,169.306412,170.300003,170.300003,0
2021-10-04,169.028473,169.617294,169.028473,169.306412,169.306412,0
2021-10-05,169.758987,170.500000,169.618973,170.399994,170.399994,0
2021-10-06,169.686264,170.500000,169.661774,170.500000,170.500000,0
2021-10-07,169.429108,170.500000,169.429108,169.466507,169.466507,0
2021-10-08,169.821869,170.449997,169.538300,170.449997,170.449997,0
2021-10-11,169.343491,169.708572,169.343491,169.423996,169.423996,0
2021-10-12,169.948090,170.199997,169.850296,169.708572,169.708572,0
2021-10-13,170.029846,170.029846,169.481537,170.800003,170.800003,0
2021-10-14,168.920471,170.699997,168.920471,170.699997,170.699997,0
2021-10-15,170.139511,170.139511,169.946030,170.000000,170.000000,0
2021-10-18,170.303253,171.078278,170.303253,170.899994,170.899994,0
2021-10-19,170.606644,172.100006,170.606644,172.000000,172.000000,0
2021-10-20,171.629608,172.140060,171.629608,172.050003,172.050003,0
2021-10-21,171.810760,173.000000,171.810760,172.750000,172.750000,0
2021-10-22,172.444763,173.011551,172.444763,172.800003,172.800003,0
2021-10-25,172.962524,174.050003,172.962524,172.971451,172.971451,0
2021-10-26,173.469040,174.050003,173.469040,174.050003,174.050003,0
2021-10-27,174.224701,174.500000,171.814651,174.500000,174.500000,0
2021-10-28,171.875412,173.699997,170.057587,173.699997,173.699997,0
2021-10-29,168.930420,171.699997,168.930420,171.699997,171.699997,0
2021-11-01,171.004120,171.100006,170.524628,171.699997,171.699997,0
2021-11-02,170.176926,170.899994,168.722122,170.899994,170.899994,0
2021-11-03,169.001083,170.050003,168.058319,170.050003,170.050003,0
2021-11-04,167.833099,169.199997,167.833099,169.199997,169.199997,0
2021-11-05,168.679504,169.750000,168.585587,169.750000,169.750000,0
2021-11-08,168.286469,170.000000,168.286469,169.750000,169.750000,0
2021-11-09,168.918243,171.000000,168.918243,169.899994,169.899994,0
2021-11-10,169.738739,171.175735,169.738739,170.899994,170.899994,0
2021-11-11,172.223267,172.306259,172.223267,170.899994,170.899994,0
2021-11-12,172.825943,174.390671,172.300003,172.306259,172.306259,0
2021-11-15,174.201965,175.399994,173.758087,175.399994,175.399994,0
2021-11-16,172.159882,174.050003,172.159882,174.050003,174.050003,0
2021-11-17,173.674576,174.060287,173.674576,174.250000,174.250000,0
2021-11-18,173.719055,174.000000,172.762009,174.100006,174.100006,0
2021-11-19,172.582489,173.646713,172.582489,173.789993,173.789993,0
2021-11-22,173.986343,173.986343,173.789993,173.646713,173.646713,0
2021-11-23,174.489258,174.500000,173.803284,174.500000,174.500000,0
2021-11-24,173.909988,174.000000,173.909409,174.000000,174.000000,0
2021-11-25,174.449997,174.449997,173.980484,174.500000,174.500000,0
2021-11-26,174.047958,175.245285,174.047958,173.980484,173.980484,0
2021-11-29,175.135788,176.000000,174.986053,176.000000,176.000000,0
2021-11-30,174.940338,176.000000,173.744598,176.000000,176.000000,0
2021-12-01,174.168213,175.000000,173.832245,175.899994,175.899994,0
2021-12-02,173.783905,175.750000,173.783905,175.000000,175.000000,0
2021-12-03,175.729843,175.729843,175.000000,175.000000,175.000000,0
2021-12-06,175.552475,175.850006,175.049866,175.235977,175.235977,0
2021-12-07,175.246140,176.399994,175.246140,175.899994,175.899994,0
2021-12-08,175.036697,176.399994,175.036697,176.399994,176.399994,0
2021-12-09,175.300629,176.399994,175.300629,177.000000,177.000000,0
2021-12-10,176.208847,176.399994,176.208847,176.479355,176.479355,0
2021-12-13,175.699158,177.699997,175.699158,175.543884,175.543884,0
2021-12-14,176.552444,177.649994,176.552444,177.649994,177.649994,0
2021-12-15,177.534760,177.699997,176.731094,177.600006,177.600006,0
2021-12-16,176.466476,176.648422,176.466476,177.649994,177.649994,0
2021-12-17,176.409683,177.800003,176.409683,177.649994,177.649994,0
2021-12-20,178.049545,178.049545,176.794373,178.016281,178.016281,0
2021-12-21,176.636078,177.699997,176.555634,177.699997,177.699997,0
2021-12-22,176.552505,177.699997,176.552505,177.699997,177.699997,0
2021-12-23,176.476044,177.699997,176.476044,177.699997,177.699997,0
2021-12-24,177.750000,177.750000,177.089859,177.699997,177.699997,0
2021-12-27,177.240860,177.800003,177.239380,177.800003,177.800003,0
2021-12-28,177.035049,177.800003,177.035049,170.050003,170.050003,0
2021-12-29,177.650742,177.800003,177.235214,177.800003,177.800003,0
2021-12-30,176.468948,178.000000,176.468948,177.800003,177.800003,0
2021-12-31,177.257050,177.949997,175.126755,177.949997,177.949997,0
2022-01-03,174.476166,174.858810,174.476166,177.949997,177.949997,0
2022-01-04,175.566406,176.399994,175.265839,176.050003,176.050003,0
2022-01-05,175.185089,176.500000,175.185089,176.300003,176.300003,0
2022-01-06,175.418808,176.350006,175.198120,176.350006,176.350006,0
2022-01-07,175.373306,175.373306,175.194687,176.649994,176.649994,0
2022-01-10,174.474640,176.500000,174.474640,174.324127,174.324127,0
2022-01-11,175.066422,176.300003,175.066422,176.300003,176.300003,0
2022-01-12,174.782959,176.149994,174.686737,176.199997,176.199997,0
2022-01-13,173.536057,176.000000,173.536057,175.899994,175.899994,0
2022-01-14,174.909149,176.000000,174.403381,176.000000,176.000000,0
2022-01-17,175.180237,175.180237,174.583664,175.750000,175.750000,0
2022-01-18,174.520218,175.750000,174.520218,174.583664,174.583664,0
2022-01-19,175.537598,175.800003,174.802658,175.699997,175.699997,0
2022-01-20,174.446442,176.080002,174.446442,175.899994,175.899994,0
2022-01-21,175.431534,176.000000,174.834137,176.000000,176.000000,0
2022-01-24,174.669128,176.070007,174.669128,176.000000,176.000000,0
2022-01-25,174.797501,174.968124,174.797501,176.000000,176.000000,0
2022-01-26,174.461273,176.000000,174.461273,176.300003,176.300003,0
2022-01-27,176.033295,176.699997,176.033295,176.699997,176.699997,0
2022-01-28,176.760986,176.760986,175.164566,176.550003,176.550003,0
2022-01-31,174.884338,176.550003,174.884338,175.011398,175.011398,0
2022-02-01,174.123123,176.429993,174.123123,176.429993,176.429993,0
2022-02-02,175.009094,176.050003,174.791504,176.050003,176.050003,0
2022-02-03,175.039780,176.000000,174.562988,176.000000,176.000000,0
2022-02-04,172.113434,176.000000,172.113434,175.600006,175.600006,0
2022-02-07,173.513840,174.149994,173.094315,174.149994,174.149994,0
2022-02-08,173.250992,173.250992,172.951263,174.500000,174.500000,0
2022-02-09,172.997437,174.000000,172.997437,172.951263,172.951263,0
2022-02-10,173.758270,174.199997,173.453461,174.199997,174.199997,0
2022-02-11,173.915192,174.899994,173.289215,174.899994,174.899994,0
2022-02-14,173.871475,174.449997,173.871475,173.940414,173.940414,0
2022-02-15,174.021255,174.958984,174.021255,174.449997,174.449997,0
2022-02-16,174.890396,174.961487,174.449997,174.449997,174.449997,0
2022-02-17,174.942276,175.399994,174.659744,175.399994,175.399994,0
2022-02-18,174.738098,175.050003,174.300232,175.050003,175.050003,0
2022-02-21,174.429199,174.960419,174.429199,175.100006,175.100006,0
2022-02-22,175.646851,176.000000,175.100006,174.960419,174.960419,0
2022-02-23,175.286545,175.286545,175.071381,175.000000,175.000000,0
2022-02-24,175.824799,175.824799,175.100006,176.000000,176.000000,0
2022-02-25,174.607071,175.949997,174.607071,175.949997,175.949997,0
2022-02-28,176.341858,176.341858,175.000000,174.823044,174.823044,0
2022-03-01,176.213928,176.213928,176.213928,177.000000,177.000000,0
2022-03-02,176.236740,177.179993,176.236740,176.213928,176.213928,0
2022-03-03,176.818604,177.300003,176.818604,177.300003,177.300003,0
2022-03-04,177.958328,177.958328,176.918793,177.260391,177.260391,0
2022-03-07,178.939713,178.939713,176.294647,177.616058,177.616058,0
2022-03-08,176.355438,177.699997,176.355438,177.699997,177.699997,0
2022-03-09,177.341751,178.300003,177.341751,178.300003,178.300003,0
2022-03-10,176.497360,178.399994,176.497360,178.399994,178.399994,0
2022-03-11,178.647888,178.647888,177.501114,178.300003,178.300003,0
2022-03-14,179.345642,179.345642,177.747025,178.199997,178.199997,0
2022-03-15,177.717819,178.550003,177.717819,178.550003,178.550003,0
2022-03-16,178.282242,178.750000,178.282242,178.699997,178.699997,0
2022-03-17,177.707336,179.000000,177.707336,179.000000,179.000000,0
2022-03-18,177.738602,179.241516,177.738602,179.000000,179.000000,0
2022-03-21,178.929947,180.250000,178.929947,180.250000,180.250000,0
2022-03-22,180.800003,181.199997,179.728088,180.899994,180.899994,0
2022-03-23,179.845459,181.199997,179.845459,179.826691,179.826691,0
2022-03-24,180.286896,181.250000,180.286896,181.000000,181.000000,0
2022-03-25,180.882050,181.000000,180.882050,181.000000,181.000000,0
2022-03-28,181.563004,181.563004,180.969803,181.324982,181.324982,0
2022-03-29,181.286423,181.899994,181.053253,181.899994,181.899994,0
2022-03-30,180.317459,182.000000,180.317459,182.000000,182.000000,0
2022-03-31,180.540405,183.199997,180.540405,182.000000,182.000000,0
2022-04-01,183.181259,183.199997,183.126785,183.199997,183.199997,0
2022-04-04,183.315750,183.399994,182.958221,183.337311,183.337311,0
2022-04-05,183.413269,183.766296,182.850006,183.300003,183.300003,0
2022-04-06,185.054108,185.054108,184.805847,182.850006,182.850006,0
2022-04-07,184.835480,187.333160,184.835480,185.699997,185.699997,0
2022-04-08,187.910919,187.910919,183.206787,185.699997,185.699997,0
2022-04-11,183.083130,183.083130,181.548508,184.300003,184.300003,0
2022-04-12,182.031860,184.300003,180.424271,182.399994,182.399994,0
2022-04-13,181.262543,181.750000,180.029907,181.750000,181.750000,0
2022-04-14,179.155014,181.300003,179.155014,181.300003,181.300003,0
2022-04-15,181.377823,181.377823,180.750000,180.750000,180.750000,0
2022-04-18,181.526443,181.526443,181.300003,181.500000,181.500000,0
2022-04-19,181.900330,182.947388,181.250000,181.250000,181.250000,0
2022-04-20,182.833008,185.649994,182.833008,183.050003,183.050003,0
2022-04-21,184.535110,186.699997,184.535110,185.600006,185.600006,0
2022-04-22,186.392639,186.649994,184.660568,186.410706,186.410706,0
2022-04-25,184.991318,185.750000,184.558838,185.270004,185.270004,0
2022-04-26,184.460785,187.399994,184.288132,185.750000,185.750000,0
2022-04-27,184.969482,185.899994,184.270782,187.399994,187.399994,0
2022-04-28,185.355637,185.389999,184.076843,185.300003,185.300003,0
2022-04-29,183.921921,185.389999,183.921921,185.389999,185.389999,0
2022-05-02,184.774185,185.399994,184.257874,185.399994,185.399994,0
2022-05-03,184.212357,185.300003,183.267502,185.300003,185.300003,0
2022-05-04,183.748932,185.380005,183.748932,185.380005,185.380005,0
2022-05-05,182.721130,185.399994,182.721130,185.380005,185.380005,0
2022-05-06,185.167862,185.250000,185.002686,185.250000,185.250000,0
2022-05-09,186.236389,187.399994,186.199997,186.199997,186.199997,0
2022-05-10,186.476074,187.399994,186.476074,187.399994,187.399994,0
2022-05-11,187.762833,189.600006,187.762833,188.449997,188.449997,0
2022-05-12,189.315109,190.163315,189.315109,189.500000,189.500000,0
2022-05-13,191.269867,191.830521,191.269867,191.399994,191.399994,0
2022-05-16,191.552261,192.699997,191.367523,192.699997,192.699997,0
2022-05-17,194.895920,195.399994,183.199997,193.300003,193.300003,0
2022-05-18,197.073517,197.073517,195.300003,195.300003,195.300003,0
2022-05-19,199.694077,199.694077,197.500000,197.500000,197.500000,0
2022-05-20,199.787613,199.800003,199.787613,199.800003,199.800003,0
2022-05-23,199.733810,200.500000,199.023697,200.050003,200.050003,0
2022-05-24,199.116959,200.149994,199.116959,200.500000,200.500000,0
2022-05-25,199.452667,200.900299,199.452667,200.149994,200.149994,0
2022-05-26,200.139282,202.000000,200.139282,202.000000,202.000000,0
2022-05-27,197.620560,202.000000,197.620560,202.000000,202.000000,0
2022-05-30,197.183136,197.183136,197.179932,199.699997,199.699997,0
2022-05-31,197.804749,199.699997,196.860672,197.179932,197.179932,0
2022-06-01,196.289993,198.699997,196.223236,198.699997,198.699997,0
2022-06-02,197.377731,197.377731,196.102631,197.500000,197.500000,0
2022-06-03,194.893295,197.199997,194.893295,197.199997,197.199997,0
2022-06-06,196.703568,198.903030,196.703568,196.643936,196.643936,0
2022-06-07,199.706375,200.178131,199.000000,199.000000,199.000000,0
2022-06-08,199.794342,199.794342,198.703674,202.250000,202.250000,0
2022-06-09,198.897507,199.005905,198.897507,198.703674,198.703674,0
2022-06-10,200.728394,201.699997,200.728394,201.699997,201.699997,0
2022-06-13,202.799500,202.977356,201.500000,202.178650,202.178650,0
2022-06-14,203.777802,204.678452,203.777802,203.399994,203.399994,0
2022-06-15,204.736313,205.528610,203.399994,204.678452,204.678452,0
2022-06-16,206.150909,206.254547,206.150909,205.528610,205.528610,0
2022-06-17,203.502563,207.688675,203.502563,206.254547,206.254547,0
2022-06-20,208.230911,208.756088,208.230911,208.150589,208.150589,0
2022-06-21,208.663925,211.000000,208.663925,208.756088,208.756088,0
2022-06-22,211.511505,211.511505,209.697296,211.000000,211.000000,0
2022-06-23,208.656204,211.199997,205.556091,211.199997,211.199997,0
2022-06-24,205.222870,208.399994,205.222870,208.399994,208.399994,0
2022-06-27,205.605087,208.000000,205.605087,208.000000,208.000000,0
2022-06-28,206.104904,206.104904,204.272202,206.750000,206.750000,0
2022-06-29,205.375153,205.375153,203.370987,204.272202,204.272202,0
2022-06-30,204.983383,204.983383,202.467804,203.370987,203.370987,0
2022-07-01,201.132751,203.040527,201.132751,202.467804,202.467804,0
2022-07-04,203.406357,203.406357,203.062073,203.040527,203.040527,0
2022-07-05,203.439621,204.781784,203.439621,203.062073,203.062073,0
2022-07-06,205.461899,206.221115,205.461899,204.781784,204.781784,0
2022-07-07,206.336502,206.336502,205.852539,206.221115,206.221115,0
2022-07-08,205.946503,205.946503,205.005432,205.852539,205.852539,0
2022-07-11,205.447540,206.293182,205.447540,204.839371,204.839371,0
2022-07-12,207.419128,207.419128,205.703079,206.293182,206.293182,0
2022-07-13,205.616943,209.278488,205.616943,205.703079,205.703079,0
2022-07-14,210.088654,210.088654,207.970139,209.278488,209.278488,0
2022-07-15,207.860138,209.245667,207.860138,207.970139,207.970139,0
2022-07-18,208.481598,214.028534,208.481598,208.823029,208.823029,0
2022-07-19,214.614868,219.733017,214.614868,214.028534,214.028534,0
2022-07-20,220.086868,223.446579,220.086868,219.733017,219.733017,0
2022-07-21,223.923660,225.083557,223.923660,223.446579,223.446579,0
2022-07-22,224.829910,226.847748,224.829910,225.083557,225.083557,0
2022-07-25,226.437851,228.242523,226.437851,225.729614,225.729614,0
2022-07-26,228.433304,231.278336,228.433304,228.242523,228.242523,0
2022-07-27,231.545181,235.250000,231.545181,231.278336,231.278336,0
2022-07-28,233.871506,236.979630,206.750000,235.250000,235.250000,0
2022-07-29,235.412338,237.542618,206.750000,239.899994,239.899994,0
2022-08-01,237.659973,237.659973,237.036407,206.750000,206.750000,0
2022-08-02,236.199722,239.100006,236.199722,239.100006,239.100006,0
2022-08-03,238.079010,238.300003,226.025421,238.300003,238.300003,0
2022-08-04,226.688019,226.688019,222.993088,228.399994,228.399994,0
2022-08-05,221.802109,225.399994,221.802109,225.399994,225.399994,0
2022-08-08,223.587662,225.399994,222.579376,223.208923,223.208923,0
2022-08-09,222.725708,224.050003,222.725708,224.050003,224.050003,0
2022-08-10,223.146408,224.000000,219.665726,224.000000,224.000000,0
2022-08-11,218.381500,221.000000,215.658340,221.000000,221.000000,0
2022-08-12,216.189453,221.000000,213.653824,219.300003,219.300003,0
2022-08-15,214.220932,215.100006,211.556976,215.100006,215.100006,0
2022-08-16,212.590347,213.750000,212.136444,213.750000,213.750000,0
2022-08-17,211.409454,213.335785,211.409454,213.399994,213.399994,0
2022-08-18,212.898163,214.699997,212.898163,213.335785,213.335785,0
2022-08-19,214.839996,215.449997,214.250000,214.449997,214.449997,0
